name,address,city,state,zip_code,id,phone,image_url,yelp_url,review_count,rating,lon,lat
Hattie's Tap & Tavern,2918 The Plz,Charlotte,NC,28205,hatties-tap-and-tavern-charlotte,(980) 938-6228,https://s3-media3.fl.yelpcdn.com/bphoto/zANNY_6ziKc4BpQ6DcsgyA/o.jpg,https://www.yelp.com/biz/hatties-tap-and-tavern-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,37,4.5,-80.800417,35.237111
The Dog Bar,3307 N Davidson St,Charlotte,NC,28205,the-dog-bar-charlotte,(704) 370-3595,https://s3-media1.fl.yelpcdn.com/bphoto/9-7fzeFzjw3mBivomE5rLw/o.jpg,https://www.yelp.com/biz/the-dog-bar-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,87,4,-80.80422,35.24807
The Trap Bar & Billiards,1923 Westinghouse Bvld,Charlotte,NC,28273,the-trap-bar-and-billiards-charlotte,(704) 910-5640,https://s3-media4.fl.yelpcdn.com/bphoto/vZRvnbO_KHkD0OJa_9Phpg/o.jpg,https://www.yelp.com/biz/the-trap-bar-and-billiards-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,10,4.5,-80.93697734,35.12751751
T-Bones On the Lake,3990 Charlotte Hwy,Lake Wylie,SC,29710,t-bones-on-the-lake-lake-wylie,(803) 831-0170,https://s3-media3.fl.yelpcdn.com/bphoto/dTEI19L_cgphJ2ymR3_dvg/o.jpg,https://www.yelp.com/biz/t-bones-on-the-lake-lake-wylie?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,139,2.5,-81.04064,35.1069699
Hickory Tavern,13545 Steelcroft Pkwy,Charlotte,NC,28278,hickory-tavern-charlotte-6,(704) 494-7360,https://s3-media1.fl.yelpcdn.com/bphoto/YBfXesg_HlSKhcQ5I8r2iA/o.jpg,https://www.yelp.com/biz/hickory-tavern-charlotte-6?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,76,3,-80.99135,35.10205
Wing King Cafe,13209 Carowinds Blvd,Charlotte,NC,28273,wing-king-cafe-charlotte,(704) 504-1954,https://s3-media3.fl.yelpcdn.com/bphoto/VySqVr7E8ENahH_U_ixOBg/o.jpg,https://www.yelp.com/biz/wing-king-cafe-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,129,4,-80.95664,35.11712
Hwy 55 Burgers Shakes & Fries,4847 Shopton Rd,Charlotte,NC,28278,hwy-55-burgers-shakes-and-fries-charlotte-5,(980) 215-4983,https://s3-media3.fl.yelpcdn.com/bphoto/ixttzojJeGlZcgiChyMl4Q/o.jpg,https://www.yelp.com/biz/hwy-55-burgers-shakes-and-fries-charlotte-5?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,59,3,-80.9635474,35.171097
Piedmont Social House,2135 Ayrsley Town Blvd,Charlotte,NC,28273,piedmont-social-house-charlotte,(704) 912-5160,https://s3-media4.fl.yelpcdn.com/bphoto/TUU6n0fMFB1xJ7YcvkiAEw/o.jpg,https://www.yelp.com/biz/piedmont-social-house-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,165,3.5,-80.93380737,35.13734818
Murphy's Kitchen & Tap,445 W Trade St,charlotte,NC,28202,murphys-kitchen-and-tap-charlotte-2,(704) 332-0557,https://s3-media4.fl.yelpcdn.com/bphoto/T1fzZ4h-65sdYFwmQterUw/o.jpg,https://www.yelp.com/biz/murphys-kitchen-and-tap-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,79,4.5,-80.84721185,35.23023223
Rooney's Market,2127 Ayrsley Town Blvd,Charlotte,NC,28273,rooneys-market-charlotte,(980) 938-4910,https://s3-media4.fl.yelpcdn.com/bphoto/Qe28PWPzO2UJFw7QOwo5kQ/o.jpg,https://www.yelp.com/biz/rooneys-market-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,29,4,-80.93263245,35.13798904
VBGB Beer Hall and Garden,920 Hamilton St,Charlotte,NC,28206,vbgb-beer-hall-and-garden-charlotte-2,(704) 333-4111,https://s3-media1.fl.yelpcdn.com/bphoto/0EnXbNtqTinQ6KIEhMiigQ/o.jpg,https://www.yelp.com/biz/vbgb-beer-hall-and-garden-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,291,4.5,-80.845087,35.240667
