name,address,city,state,zip_code,id,phone,image_url,yelp_url,review_count,rating,lon,lat
Four Paws Dog Retreat,10901 Downs Rd,Pineville,NC,28134,four-paws-dog-retreat-pineville,(704) 583-2438,https://s3-media2.fl.yelpcdn.com/bphoto/NoVGy4EirCBy3QOUhManpA/o.jpg,https://www.yelp.com/biz/four-paws-dog-retreat-pineville?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,12,4.5,-80.911895,35.114096
Continental Boarding And Doggie Daycare,2235 Township Rd,Charlotte,NC,28273,continental-boarding-and-doggie-daycare-charlotte,(704) 504-0025,https://s3-media2.fl.yelpcdn.com/bphoto/DzIp5xy314nO002YeIwwfQ/o.jpg,https://www.yelp.com/biz/continental-boarding-and-doggie-daycare-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,12,4,-80.942751,35.133082
Club Fetch,2426 Dunavant St,Charlotte,NC,28203,club-fetch-charlotte-2,(980) 299-0019,https://s3-media2.fl.yelpcdn.com/bphoto/4tHYZUcv9cacp-1sJcYiTA/o.jpg,https://www.yelp.com/biz/club-fetch-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,36,5,-80.86665,35.20492
Pet Paradise,2919 Boyer St,Charlotte,NC,28208,pet-paradise-charlotte,(704) 393-3647,https://s3-media1.fl.yelpcdn.com/bphoto/qln6lUoYLXZbyMcADOtPQQ/o.jpg,https://www.yelp.com/biz/pet-paradise-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,47,4.5,-80.9220735,35.2294132
Laurel Oak Farm Dog Kennel,16223 Youngblood Rd,Charlotte,NC,28278,laurel-oak-farm-dog-kennel-charlotte,(980) 859-7935,https://s3-media3.fl.yelpcdn.com/bphoto/r1OKvk_K1O1tWE_2L9RHrQ/o.jpg,https://www.yelp.com/biz/laurel-oak-farm-dog-kennel-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,4,5,-81.01918793,35.07232666
Camp Bow Wow Fort Mill,3536 Centre Cir,Fort Mill,SC,29715,camp-bow-wow-fort-mill-fort-mill,(803) 547-2267,https://s3-media4.fl.yelpcdn.com/bphoto/Zrs4o8nFrG8_SEFCeG80BA/o.jpg,https://www.yelp.com/biz/camp-bow-wow-fort-mill-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,7,4.5,-80.92386,35.0924
The Barker Lounge,1719 Montford Dr,Charlotte,NC,28209,the-barker-lounge-charlotte,(704) 522-7537,https://s3-media2.fl.yelpcdn.com/bphoto/KoKc0d3w9x710NkMZoPW3Q/o.jpg,https://www.yelp.com/biz/the-barker-lounge-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,62,4.5,-80.84749,35.17105
Carolina Doggie Playland,3111 S Tryon St,Charlotte,NC,28217,carolina-doggie-playland-charlotte,(704) 529-7757,https://s3-media4.fl.yelpcdn.com/bphoto/Oa8EB8mq58OVI40snKyFwg/o.jpg,https://www.yelp.com/biz/carolina-doggie-playland-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,17,5,-80.87358093,35.19983673
Chloe's Playhouse,S Tryon St,Charlotte,NC,28273,chloes-playhouse-charlotte,(704) 942-5638,https://s3-media2.fl.yelpcdn.com/bphoto/zhfnVkoHu48E_0jmrVI38A/o.jpg,https://www.yelp.com/biz/chloes-playhouse-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,5,-80.94721,35.12245
Kennelina Pet Resort,530 Turner Rd,Gastonia,NC,28056,kennelina-pet-resort-gastonia,(704) 820-8484,https://s3-media3.fl.yelpcdn.com/bphoto/nUP3JXnpc9TUGE269fHwUw/o.jpg,https://www.yelp.com/biz/kennelina-pet-resort-gastonia?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,4,5,-81.07493,35.28343
