name,address,city,state,zip_code,id,phone,image_url,yelp_url,review_count,rating,lon,lat
Bubbles N' Bows Doggie Salon,717 Stockbridge Dr,Fort Mill,SC,29708,bubbles-n-bows-doggie-salon-fort-mill,(803) 802-7040,https://s3-media3.fl.yelpcdn.com/bphoto/tHEDfCsRAIRp3G1VxOp4vw/o.jpg,https://www.yelp.com/biz/bubbles-n-bows-doggie-salon-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,9,4,-80.9932682,35.0628996
Classic Grooming,3100 Griffith St,Charlotte,NC,28203,classic-grooming-charlotte,(704) 334-9590,https://s3-media1.fl.yelpcdn.com/bphoto/vNbVXda5424FNYUpcgFV8Q/o.jpg,https://www.yelp.com/biz/classic-grooming-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,15,4.5,-80.87187,35.20109
The Dog Salon,1318 Central Ave,Charlotte,NC,28205,the-dog-salon-charlotte,(704) 248-0991,https://s3-media4.fl.yelpcdn.com/bphoto/dKlLbkNa3VqKcbDLWkowWw/o.jpg,https://www.yelp.com/biz/the-dog-salon-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,67,4,-80.81496,35.219193
Bright Eyes & Bushy Tails,4034 Charlotte Hwy,Lake Wylie,SC,29710,bright-eyes-and-bushy-tails-lake-wylie,(803) 831-7169,https://s3-media4.fl.yelpcdn.com/bphoto/Z3Yq6BjM-Fc4yjOavLX0zw/o.jpg,https://www.yelp.com/biz/bright-eyes-and-bushy-tails-lake-wylie?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,2,3,-81.0425683,35.1083029
Wags In The City Pet Services,6546 Quail Hollow Rd,Charlotte,NC,28210,wags-in-the-city-pet-services-charlotte,(704) 584-9247,https://s3-media3.fl.yelpcdn.com/bphoto/xBOPSKCXniDATn3h1H6q-Q/o.jpg,https://www.yelp.com/biz/wags-in-the-city-pet-services-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,27,4.5,-80.8980458,35.1621037
Happy Dog Cafe Boutique & Spa,26 N Main St,Belmont,NC,28012,happy-dog-cafe-boutique-and-spa-belmont,(704) 825-5987,https://s3-media2.fl.yelpcdn.com/bphoto/vz9ol43U_lbPOWFJDDRQiw/o.jpg,https://www.yelp.com/biz/happy-dog-cafe-boutique-and-spa-belmont?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,13,5,-81.03763073,35.24327089
Million Dollar Dog,7206 W Wilkinson Blvd,Belmont,NC,28012,million-dollar-dog-belmont-2,(704) 266-4137,https://s3-media3.fl.yelpcdn.com/bphoto/4n9XxafacVWf1W9y8O9tLw/o.jpg,https://www.yelp.com/biz/million-dollar-dog-belmont-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,7,4.5,-81.01844609,35.24744564
Laurel Oak Farm Dog Kennel,16223 Youngblood Rd,Charlotte,NC,28278,laurel-oak-farm-dog-kennel-charlotte,(980) 859-7935,https://s3-media3.fl.yelpcdn.com/bphoto/r1OKvk_K1O1tWE_2L9RHrQ/o.jpg,https://www.yelp.com/biz/laurel-oak-farm-dog-kennel-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,4,5,-81.01918793,35.07232666
Club Fetch,2426 Dunavant St,Charlotte,NC,28203,club-fetch-charlotte-2,(980) 299-0019,https://s3-media2.fl.yelpcdn.com/bphoto/4tHYZUcv9cacp-1sJcYiTA/o.jpg,https://www.yelp.com/biz/club-fetch-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,36,5,-80.86665,35.20492
The Barker Lounge,1719 Montford Dr,Charlotte,NC,28209,the-barker-lounge-charlotte,(704) 522-7537,https://s3-media2.fl.yelpcdn.com/bphoto/KoKc0d3w9x710NkMZoPW3Q/o.jpg,https://www.yelp.com/biz/the-barker-lounge-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,62,4.5,-80.84749,35.17105
Whiskers Dog Spa,7816 Fairview Rd,Charlotte,NC,28226,whiskers-dog-spa-charlotte,(704) 366-3553,https://s3-media3.fl.yelpcdn.com/bphoto/9zNVAo3b1NQGq5YRuASVrQ/o.jpg,https://www.yelp.com/biz/whiskers-dog-spa-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,19,4,-80.8082128,35.146739
Lucky Puppy Pet Spa,412 Tom Hall St,Fort Mill,SC,29715,lucky-puppy-pet-spa-fort-mill-3,(803) 802-5825,https://s3-media3.fl.yelpcdn.com/bphoto/fwlbrJL5oScF9X1WzQeo-Q/o.jpg,https://www.yelp.com/biz/lucky-puppy-pet-spa-fort-mill-3?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,6,4.5,-80.935806,35.006969
Dogtopia,616 Springbrook Rd,Charlotte,NC,28217,dogtopia-charlotte,(704) 525-4440,https://s3-media3.fl.yelpcdn.com/bphoto/Kw6wBysma225xr-pitK1QQ/o.jpg,https://www.yelp.com/biz/dogtopia-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,40,4,-80.88013,35.17373
Dirty Dog Depot,2627 Highway 160 W,Fort Mill,SC,29708,dirty-dog-depot-fort-mill,(803) 548-1301,https://s3-media2.fl.yelpcdn.com/bphoto/rG4sLlZGjBpgr0_pu5VOkQ/o.jpg,https://www.yelp.com/biz/dirty-dog-depot-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,15,3,-80.9923488,35.0534523
Pineville Pet Quarters,12716 Downs Cir,Pineville,NC,28134,pineville-pet-quarters-pineville,(704) 588-5800,,https://www.yelp.com/biz/pineville-pet-quarters-pineville?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,5,-80.90117645,35.09243774
Divine K-9 Pet Grooming,890 Armstrong Park Rd,Gastonia,NC,28054,divine-k-9-pet-grooming-gastonia-2,(704) 914-7879,https://s3-media2.fl.yelpcdn.com/bphoto/77nk2wqgBbSu2ryy9JqLkA/o.jpg,https://www.yelp.com/biz/divine-k-9-pet-grooming-gastonia-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,5,-81.13487244,35.24153137
Archdale Animal Hospital,1319 Archdale Dr,Charlotte,NC,28217,archdale-animal-hospital-charlotte,(704) 552-2333,https://s3-media2.fl.yelpcdn.com/bphoto/R45PI0y8D7Ol9FafDpZXMg/o.jpg,https://www.yelp.com/biz/archdale-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,16,5,-80.87706,35.15312
Midwood Barkery,3100 Monroe Rd,Charlotte,NC,28205,midwood-barkery-charlotte,(980) 395-0498,https://s3-media1.fl.yelpcdn.com/bphoto/u3cbrWzLMACrdlAi4NAL7A/o.jpg,https://www.yelp.com/biz/midwood-barkery-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,6,5,-80.80360413,35.20394135
Waggin Tails Pet Inn and Salon,4939 Mt Gallant Rd,Rock Hill,SC,29732,waggin-tails-pet-inn-and-salon-rock-hill,(803) 329-5354,https://s3-media3.fl.yelpcdn.com/bphoto/6qWhg7HjIiXouF8dk6fynA/o.jpg,https://www.yelp.com/biz/waggin-tails-pet-inn-and-salon-rock-hill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,1,5,-81.07289886,35.00960922
PetSmart,14137 Rivergate Parkway,Charlotte,NC,28273,petsmart-charlotte-4,(704) 587-1198,https://s3-media4.fl.yelpcdn.com/bphoto/hXUKVILfA8inJAGHxUSl1A/o.jpg,https://www.yelp.com/biz/petsmart-charlotte-4?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,12,3,-80.9829203,35.102951
Modern Pet Salon,13643 Providence Rd,Weddington,NC,28104,modern-pet-salon-weddington,(704) 846-0336,https://s3-media3.fl.yelpcdn.com/bphoto/MpXXdWzEtN9Uph9SOu94Sw/o.jpg,https://www.yelp.com/biz/modern-pet-salon-weddington?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,19,5,-80.76252513,35.02390645
Pampered Paws at The Fountains,8025 Ardrey Kell Rd,Charlotte,NC,28277,pampered-paws-at-the-fountains-charlotte-2,(704) 321-7297,https://s3-media3.fl.yelpcdn.com/bphoto/kKs2nuHRcMaHdNVDQBH3lg/o.jpg,https://www.yelp.com/biz/pampered-paws-at-the-fountains-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,1,5,-80.794,35.04026
Pawtique Holistic Pet Shoppe,12206 Copper Way,Charlotte,NC,28277,pawtique-holistic-pet-shoppe-charlotte,(704) 544-7551,https://s3-media2.fl.yelpcdn.com/bphoto/cuz-508zwz0lWJ_lTW7XmQ/o.jpg,https://www.yelp.com/biz/pawtique-holistic-pet-shoppe-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,28,4,-80.844444,35.07068
Piper Glen Animal Hospital,5105 Piper Station Dr,Charlotte,NC,28277,piper-glen-animal-hospital-charlotte,(704) 541-7171,https://s3-media2.fl.yelpcdn.com/bphoto/QwsAOtsg4O3lhm9URhUTqA/o.jpg,https://www.yelp.com/biz/piper-glen-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,14,4.5,-80.813,35.0628
Pet Essentials,7510 Pineville Matthews Rd,Charlotte,NC,28226,pet-essentials-charlotte,(704) 341-9936,https://s3-media4.fl.yelpcdn.com/bphoto/H-paTRtNLeo6UFicMIaFIA/o.jpg,https://www.yelp.com/biz/pet-essentials-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,25,4,-80.8470111,35.087875
Pet Supplies Plus,7601 Pineville-Matthews Rd,Charlotte,NC,28226,pet-supplies-plus-charlotte-2,(980) 819-6163,https://s3-media3.fl.yelpcdn.com/bphoto/p5s0MA24ImxxxKgHpVf4HQ/o.jpg,https://www.yelp.com/biz/pet-supplies-plus-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,28,4,-80.84763112,35.08656934
Dog Gone Beautiful,8318 Pineville Matthews Rd,Charlotte,NC,28226,dog-gone-beautiful-charlotte,(704) 752-6464,https://s3-media3.fl.yelpcdn.com/bphoto/iZRHPzsYyLck1F3fjzbSgQ/o.jpg,https://www.yelp.com/biz/dog-gone-beautiful-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,4,-80.8602137,35.0876763
Ballantyne Veterinary Clinic,16139 Lancaster Hwy,Charlotte,NC,28277,ballantyne-veterinary-clinic-charlotte,(704) 926-7000,https://s3-media3.fl.yelpcdn.com/bphoto/44qjTR4Q1DyclVi-8QRhsA/o.jpg,https://www.yelp.com/biz/ballantyne-veterinary-clinic-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,10,5,-80.8509451,35.0279798
PetSmart,9911 Rea Road,Charlotte,NC,28277,petsmart-charlotte-3,(704) 846-4565,https://s3-media1.fl.yelpcdn.com/bphoto/bBywUPytlTrPP335iA7eiQ/o.jpg,https://www.yelp.com/biz/petsmart-charlotte-3?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,13,3,-80.8045903,35.0352295
All Paws Grooming,8475 Charlotte Hwy,Indian Land,SC,29707,all-paws-grooming-indian-land-2,(803) 548-1001,https://s3-media1.fl.yelpcdn.com/bphoto/cBOnrxnVkGL2NZRA5d3cuQ/o.jpg,https://www.yelp.com/biz/all-paws-grooming-indian-land-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,6,3,-80.85466,34.957981
Rea Road Animal Hospital,8100 Williams Pond Ln,Charlotte,NC,28277,rea-road-animal-hospital-charlotte,(704) 544-6313,https://s3-media2.fl.yelpcdn.com/bphoto/SK1E8hy9ZlNwyjG0eZiv9w/o.jpg,https://www.yelp.com/biz/rea-road-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,20,4,-80.8129,35.05427
Fluffs of Luv Pet Care,315 Main St,Pineville,NC,28134,fluffs-of-luv-pet-care-pineville-2,(704) 421-3492,https://s3-media1.fl.yelpcdn.com/bphoto/iiFnZZDxWAT2MILZn3DPPg/o.jpg,https://www.yelp.com/biz/fluffs-of-luv-pet-care-pineville-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,20,4.5,-80.8906918,35.0854438
Social Pet,515 Towne Centre Blvd,Pineville,NC,28134,social-pet-pineville,(704) 835-1022,https://s3-media2.fl.yelpcdn.com/bphoto/u6g1A6NUUnghGmEkiWLd7g/o.jpg,https://www.yelp.com/biz/social-pet-pineville?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,14,4,-80.88376,35.08009
Wash & Wag Grooming,,Weddington,NC,28104,wash-and-wag-grooming-weddington,(704) 231-8393,https://s3-media1.fl.yelpcdn.com/bphoto/c80mJGOkD-tcoPZ4eyn7iA/o.jpg,https://www.yelp.com/biz/wash-and-wag-grooming-weddington?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,2,5,-80.7219537,35.0526669
Best Friends Pet Care Charlotte,10301 Feldfarm Ln,Charlotte,NC,28210,best-friends-pet-care-charlotte-charlotte,(704) 752-0504,https://s3-media3.fl.yelpcdn.com/bphoto/FY0VjOwIu1Xz50ly09KGpQ/o.jpg,https://www.yelp.com/biz/best-friends-pet-care-charlotte-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,30,4,-80.86408997,35.09332275
Petco,3401 Pineville Matthews Rd,Charlotte,NC,28226,petco-charlotte-5,(704) 541-2473,https://s3-media1.fl.yelpcdn.com/bphoto/XKFcRuUZco4ZSjIi4mFvQg/o.jpg,https://www.yelp.com/biz/petco-charlotte-5?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,17,2.5,-80.78549,35.0961799
Wags & Whiskers,900 Fort Mill Hwy,Fort Mill,SC,29707,wags-and-whiskers-fort-mill,(803) 548-3647,https://s3-media3.fl.yelpcdn.com/bphoto/Acw9uZVHKLBLdW0D4i5tiA/o.jpg,https://www.yelp.com/biz/wags-and-whiskers-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,4,-80.88762665,35.00569153
Animal Artistry,10761 Park Rd,Charlotte,NC,28210,animal-artistry-charlotte-2,(704) 543-3120,https://s3-media3.fl.yelpcdn.com/bphoto/EPvq772iFAWwnv_T6IqT3w/o.jpg,https://www.yelp.com/biz/animal-artistry-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,5,-80.87023163,35.09007353
Carolinas Critter Sitters,4717 Sweden Rd,Charlotte,NC,28273,carolinas-critter-sitters-charlotte-5,(704) 970-7297,https://s3-media2.fl.yelpcdn.com/bphoto/7dhNvkC1piAdDoQ4n5-Tyg/o.jpg,https://www.yelp.com/biz/carolinas-critter-sitters-charlotte-5?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,4,-80.881511,35.129451
Carolina Veterinary Specialists,2225 Township Rd,Charlotte,NC,28273,carolina-veterinary-specialists-charlotte,(704) 504-9608,https://s3-media2.fl.yelpcdn.com/bphoto/SABnjVjyhPn3DNnIZ7gVrw/o.jpg,https://www.yelp.com/biz/carolina-veterinary-specialists-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,27,2.5,-80.94198,35.1325
A Dog's Best Friend,9010 Monroe Rd,Charlotte,NC,28270,a-dogs-best-friend-charlotte-2,(704) 847-9842,https://s3-media2.fl.yelpcdn.com/bphoto/ozQedK0GnDR_cgjNYSI1Iw/o.jpg,https://www.yelp.com/biz/a-dogs-best-friend-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,12,3.5,-80.74563,35.14745
Tiffany's Pet Salon,11300 Lawyers Rd,Mint Hill,NC,28227,tiffanys-pet-salon-mint-hill,(704) 545-5195,https://s3-media3.fl.yelpcdn.com/bphoto/YDabXWUk9NG3Lf3LZrqSrw/o.jpg,https://www.yelp.com/biz/tiffanys-pet-salon-mint-hill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,8,4.5,-80.65666,35.17286
Bark 5th Ave Pet Salon,10416 E Independence Blvd,Matthews,NC,28105,bark-5th-ave-matthews,(704) 847-8919,https://s3-media2.fl.yelpcdn.com/bphoto/pPgfQNU33A9ONW_cg0k3Dw/o.jpg,https://www.yelp.com/biz/bark-5th-ave-matthews?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,8,4.5,-80.70696824,35.12730704
Tender Grooming,104 Indian Trl Rd,Indian Trail,NC,28079,tender-grooming-indian-trail,(704) 684-0090,,https://www.yelp.com/biz/tender-grooming-indian-trail?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,5,-80.66768892,35.07780343
Camp Bow Wow Matthews,8635 Crown Crescent Ct,Charlotte,NC,28227,camp-bow-wow-matthews-charlotte-2,(704) 708-9663,https://s3-media3.fl.yelpcdn.com/bphoto/JY1aqLppr3T1AtZgnCp9Fg/o.jpg,https://www.yelp.com/biz/camp-bow-wow-matthews-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,26,4.5,-80.728907,35.141915
Pet Paradise - Matthews,10714 Independence Pointe Pkwy,Matthews,NC,28105,pet-paradise-matthews-matthews,(704) 246-4206,https://s3-media3.fl.yelpcdn.com/bphoto/oRkxCmST1W8cfAyoFzOo5Q/o.jpg,https://www.yelp.com/biz/pet-paradise-matthews-matthews?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,12,4,-80.7071,35.12022
A Barking Boutique,1600 Matthews Mint Hill Rd,Matthews,NC,28105,a-barking-boutique-matthews,(704) 846-1070,https://s3-media1.fl.yelpcdn.com/bphoto/7bhIzuT7FoQU0CdvoPXQJg/o.jpg,https://www.yelp.com/biz/a-barking-boutique-matthews?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,7,4,-80.695755,35.11916351
Matthews Animal Clinic,10600 Monroe Rd,Matthews,NC,28105,matthews-animal-clinic-matthews,(704) 847-9856,,https://www.yelp.com/biz/matthews-animal-clinic-matthews?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,19,4.5,-80.73339081,35.12877274
Sara's Dog Gone Beautiful,1001 Van Buren Ave,Indian Trail,NC,28079,saras-dog-gone-beautiful-indian-trail,(980) 475-2487,,https://www.yelp.com/biz/saras-dog-gone-beautiful-indian-trail?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,5,-80.65642621,35.08769029
Miller Animal Hospital,10638 Monroe Rd,Matthews,NC,28105,miller-animal-hospital-matthews,(704) 847-0224,,https://www.yelp.com/biz/miller-animal-hospital-matthews?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,13,4.5,-80.732,35.12767
