"_id__$oid","type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name","properties__location.address1","properties__location.city","properties__location.state","properties__location.zip_code","properties__id","properties__display_phone","properties__image_url","properties__url","properties__review_count","properties__rating"
"5983263d28a5d93b2f7612cb","Feature","Point","-80.94272","35.12621","Steele Creek Animal Hospital","9729 S Tryon St","Charlotte","NC","28273","steele-creek-animal-hospital-charlotte","(704) 588-4400","https://s3-media3.fl.yelpcdn.com/bphoto/Q0LOqwTgvoI0jUREV5lmMg/o.jpg","https://www.yelp.com/biz/steele-creek-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","11","3.5"
"5983263d28a5d93b2f7612cc","Feature","Point","-80.94198","35.1325","Carolina Veterinary Specialists","2225 Township Rd","Charlotte","NC","28273","carolina-veterinary-specialists-charlotte","(704) 504-9608","https://s3-media2.fl.yelpcdn.com/bphoto/SABnjVjyhPn3DNnIZ7gVrw/o.jpg","https://www.yelp.com/biz/carolina-veterinary-specialists-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","27","2.5"
"5983263d28a5d93b2f7612cd","Feature","Point","-80.8646618","35.2023634","Long Animal Hospital","2523 South Blvd","Charlotte","NC","28203","long-animal-hospital-charlotte-3","(704) 523-2996","https://s3-media2.fl.yelpcdn.com/bphoto/WN_MUEwy-dNFWTIak6gO-g/o.jpg","https://www.yelp.com/biz/long-animal-hospital-charlotte-3?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","84","3.5"
"5983263d28a5d93b2f7612ce","Feature","Point","-80.99244","35.05315","Veterinary Medical Center of Fort Mill","2615 Hwy 160 W","Fort Mill","SC","29708","veterinary-medical-center-of-fort-mill-fort-mill","(803) 396-9130","https://s3-media4.fl.yelpcdn.com/bphoto/q9FQVHOwQmaAxwVk6mZC2g/o.jpg","https://www.yelp.com/biz/veterinary-medical-center-of-fort-mill-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","36","4.5"
"5983263d28a5d93b2f7612cf","Feature","Point","-80.850692","35.205959","Dilworth Animal Hospital","814 East Blvd","Charlotte","NC","28203","dilworth-animal-hospital-charlotte","(704) 808-7387","https://s3-media3.fl.yelpcdn.com/bphoto/XI3ppt0Nte9H7pErJlO2Jg/o.jpg","https://www.yelp.com/biz/dilworth-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","47","5"
"5983263d28a5d93b2f7612d0","Feature","Point","-80.95067","35.12232","The Carolinas Animal Hospital & Dental Clinic P A","13331 York Center Dr","Charlotte","NC","28273","the-carolinas-animal-hospital-and-dental-clinic-p-a-charlotte-2","(704) 588-9788","https://s3-media3.fl.yelpcdn.com/bphoto/EY0LEZFTRmx2hUC4rjYLlw/o.jpg","https://www.yelp.com/biz/the-carolinas-animal-hospital-and-dental-clinic-p-a-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","13","3.5"
"5983263d28a5d93b2f7612d1","Feature","Point","-80.87706","35.15312","Archdale Animal Hospital","1319 Archdale Dr","Charlotte","NC","28217","archdale-animal-hospital-charlotte","(704) 552-2333","https://s3-media2.fl.yelpcdn.com/bphoto/R45PI0y8D7Ol9FafDpZXMg/o.jpg","https://www.yelp.com/biz/archdale-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","16","5"
"5983263d28a5d93b2f7612d2","Feature","Point","-80.794311","35.197731","Animal Medical Hospital","3832 Monroe Rd","Charlotte","NC","28205","animal-medical-hospital-charlotte","(704) 334-4684","https://s3-media2.fl.yelpcdn.com/bphoto/K-58wLi3eUyXDdRxBdhlqA/o.jpg","https://www.yelp.com/biz/animal-medical-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","63","3.5"
"5983263d28a5d93b2f7612d3","Feature","Point","-80.9088973999023","35.0632019042969","Carolina Place Animal Hospital","8177 Regent Pkwy","Fort Mill","SC","29715","carolina-place-animal-hospital-fort-mill","(803) 547-3547","https://s3-media4.fl.yelpcdn.com/bphoto/qbKwxE7s4IejhKItDrtDTQ/o.jpg","https://www.yelp.com/biz/carolina-place-animal-hospital-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","8","4"
"5983263d28a5d93b2f7612d4","Feature","Point","-80.86178","35.04214","West Ballantyne Animal Hospital","11926 Providence Rd W","Charlotte","NC","28277","west-ballantyne-animal-hospital-charlotte","(980) 938-8136","https://s3-media2.fl.yelpcdn.com/bphoto/wplnkSQyjPGOWwYsfOTdvw/o.jpg","https://www.yelp.com/biz/west-ballantyne-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","20","5"
