name,address,city,state,zip_code,id,phone,image_url,yelp_url,review_count,rating,lon,lat
The Carolinas Animal Hospital & Dental Clinic P A,13331 York Center Dr,Charlotte,NC,28273,the-carolinas-animal-hospital-and-dental-clinic-p-a-charlotte-2,(704) 588-9788,https://s3-media3.fl.yelpcdn.com/bphoto/EY0LEZFTRmx2hUC4rjYLlw/o.jpg,https://www.yelp.com/biz/the-carolinas-animal-hospital-and-dental-clinic-p-a-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,13,3.5,-80.95067,35.12232
Steele Creek Animal Hospital,9729 S Tryon St,Charlotte,NC,28273,steele-creek-animal-hospital-charlotte,(704) 588-4400,https://s3-media3.fl.yelpcdn.com/bphoto/Q0LOqwTgvoI0jUREV5lmMg/o.jpg,https://www.yelp.com/biz/steele-creek-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,11,3.5,-80.94272,35.12621
Veterinary Medical Center of Fort Mill,2615 Hwy 160 W,Fort Mill,SC,29708,veterinary-medical-center-of-fort-mill-fort-mill,(803) 396-9130,https://s3-media4.fl.yelpcdn.com/bphoto/q9FQVHOwQmaAxwVk6mZC2g/o.jpg,https://www.yelp.com/biz/veterinary-medical-center-of-fort-mill-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,35,4.5,-80.99244,35.05315
Dilworth Animal Hospital,814 East Blvd,Charlotte,NC,28203,dilworth-animal-hospital-charlotte,(704) 808-7387,https://s3-media3.fl.yelpcdn.com/bphoto/XI3ppt0Nte9H7pErJlO2Jg/o.jpg,https://www.yelp.com/biz/dilworth-animal-hospital-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,47,5,-80.850692,35.205959
Totalbond Veterinary Hospitals,125 Forest Oak Dr,Lake Wylie,SC,29710,totalbond-veterinary-hospitals-lake-wylie-3,(803) 831-1318,https://s3-media3.fl.yelpcdn.com/bphoto/Y2eahcuw8AnBFbq10Qf6ug/o.jpg,https://www.yelp.com/biz/totalbond-veterinary-hospitals-lake-wylie-3?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,2,4.5,-81.06932,35.11462
Tega Cay Animal Hospital,2152 Gold Hill Rd,Fort Mill,SC,29708,tega-cay-animal-hospital-fort-mill,(803) 548-2590,,https://www.yelp.com/biz/tega-cay-animal-hospital-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,5,-81.00746918,35.05412292
UrgentVet Pet Clinic,600-A Park St,Belmont,NC,28012,urgentvet-pet-clinic-belmont,(704) 825-8868,https://s3-media4.fl.yelpcdn.com/bphoto/3er_okuNvW_0sTDlrIeLYA/o.jpg,https://www.yelp.com/biz/urgentvet-pet-clinic-belmont?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,10,5,-81.0280209,35.25243469
Carolina Veterinary Specialists,2225 Township Rd,Charlotte,NC,28273,carolina-veterinary-specialists-charlotte,(704) 504-9608,https://s3-media2.fl.yelpcdn.com/bphoto/SABnjVjyhPn3DNnIZ7gVrw/o.jpg,https://www.yelp.com/biz/carolina-veterinary-specialists-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,27,2.5,-80.94198,35.1325
Southeast Veterinary Dermatology & Ear Clinic,9201 S Tryon St,Charlotte,NC,28273,southeast-veterinary-dermatology-and-ear-clinic-charlotte,(704) 588-7004,https://s3-media4.fl.yelpcdn.com/bphoto/lm5zyZHyM8cxNu-AR7GmHg/o.jpg,https://www.yelp.com/biz/southeast-veterinary-dermatology-and-ear-clinic-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,2,5,-80.939761,35.133666
UrgentVet Pet Clinic,870 Gold Hill Rd,Fort Mill,SC,29708,urgentvet-pet-clinic-fort-mill,(803) 486-2550,https://s3-media4.fl.yelpcdn.com/bphoto/aq4_w3ALT023lFyljbFyVg/o.jpg,https://www.yelp.com/biz/urgentvet-pet-clinic-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,5,4,-80.9628788,35.0614481
Palmetto Pet Hospital,1718 Gold Hill Rd,Fort Mill,SC,29708,palmetto-pet-hospital-fort-mill,(803) 547-8191,https://s3-media3.fl.yelpcdn.com/bphoto/kemV9oReUU-ci3bdtuD7-g/o.jpg,https://www.yelp.com/biz/palmetto-pet-hospital-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,4,4.5,-80.9928665,35.0615005
South Point Pet Hospital,3 N Main St,Belmont,NC,28012,south-point-pet-hospital-belmont,(704) 825-7774,https://s3-media4.fl.yelpcdn.com/bphoto/yA4aN7VmhO8tZuYtxDbpnA/o.jpg,https://www.yelp.com/biz/south-point-pet-hospital-belmont?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ,3,3.5,-81.03809205,35.24266627
